TIME,F21       ,V21       ,DP21      ,SGEN21    ,A21       
SECONDS,LBM/S,FT/S,PSIA,BTU/R-Sec,In2
0.205000E+02,0.164294E-01,0.102232E+04,0.752151E+02,0.000000E+00,0.785000E-02
0.206000E+02,0.164223E-01,0.102224E+04,0.751690E+02,0.000000E+00,0.785000E-02
0.207000E+02,0.164152E-01,0.102216E+04,0.751228E+02,0.000000E+00,0.785000E-02
0.208000E+02,0.164081E-01,0.102208E+04,0.750767E+02,0.000000E+00,0.785000E-02
0.209000E+02,0.164010E-01,0.102199E+04,0.750305E+02,0.000000E+00,0.785000E-02
0.210000E+02,0.163939E-01,0.102191E+04,0.749845E+02,0.000000E+00,0.785000E-02
0.211000E+02,0.163868E-01,0.102183E+04,0.749384E+02,0.000000E+00,0.785000E-02
0.212000E+02,0.163797E-01,0.102175E+04,0.748924E+02,0.000000E+00,0.785000E-02
0.213000E+02,0.163726E-01,0.102166E+04,0.748464E+02,0.000000E+00,0.785000E-02
0.214000E+02,0.163655E-01,0.102158E+04,0.748004E+02,0.000000E+00,0.785000E-02
0.215000E+02,0.163584E-01,0.102150E+04,0.747545E+02,0.000000E+00,0.785000E-02
0.216000E+02,0.163513E-01,0.102142E+04,0.747085E+02,0.000000E+00,0.785000E-02
0.217000E+02,0.163442E-01,0.102134E+04,0.746627E+02,0.000000E+00,0.785000E-02
0.218000E+02,0.163371E-01,0.102125E+04,0.746168E+02,0.000000E+00,0.785000E-02
0.219000E+02,0.163301E-01,0.102117E+04,0.745710E+02,0.000000E+00,0.785000E-02
0.220000E+02,0.163230E-01,0.102109E+04,0.745251E+02,0.000000E+00,0.785000E-02
0.221000E+02,0.163159E-01,0.102101E+04,0.744794E+02,0.000000E+00,0.785000E-02
0.222000E+02,0.163089E-01,0.102093E+04,0.744336E+02,0.000000E+00,0.785000E-02
0.223000E+02,0.163018E-01,0.102085E+04,0.743879E+02,0.000000E+00,0.785000E-02
0.224000E+02,0.162947E-01,0.102076E+04,0.743422E+02,0.000000E+00,0.785000E-02
0.225000E+02,0.162877E-01,0.102068E+04,0.742965E+02,0.000000E+00,0.785000E-02
0.226000E+02,0.162806E-01,0.102060E+04,0.742509E+02,0.000000E+00,0.785000E-02
0.227000E+02,0.162736E-01,0.102052E+04,0.742052E+02,0.000000E+00,0.785000E-02
0.228000E+02,0.162666E-01,0.102044E+04,0.741596E+02,0.000000E+00,0.785000E-02
0.229000E+02,0.162595E-01,0.102035E+04,0.741141E+02,0.000000E+00,0.785000E-02
0.230000E+02,0.162525E-01,0.102027E+04,0.740685E+02,0.000000E+00,0.785000E-02
0.231000E+02,0.162455E-01,0.102019E+04,0.740230E+02,0.000000E+00,0.785000E-02
0.232000E+02,0.162384E-01,0.102011E+04,0.739775E+02,0.000000E+00,0.785000E-02
