TIME,F21       ,V21       ,DP21      ,SGEN21    ,A21       
SECONDS,KG/S,M/S,kPa,KJ/K-S,M^2
0.149000E+02,0.763540E-02,0.313008E+03,0.536765E+03,0.000000E+00,0.506451E-05
0.150000E+02,0.763208E-02,0.312982E+03,0.536435E+03,0.000000E+00,0.506451E-05
0.151000E+02,0.762875E-02,0.312957E+03,0.536106E+03,0.000000E+00,0.506451E-05
0.152000E+02,0.762543E-02,0.312932E+03,0.535777E+03,0.000000E+00,0.506451E-05
0.153000E+02,0.762211E-02,0.312907E+03,0.535449E+03,0.000000E+00,0.506451E-05
0.154000E+02,0.761880E-02,0.312881E+03,0.535120E+03,0.000000E+00,0.506451E-05
0.155000E+02,0.761548E-02,0.312856E+03,0.534792E+03,0.000000E+00,0.506451E-05
0.156000E+02,0.761217E-02,0.312831E+03,0.534464E+03,0.000000E+00,0.506451E-05
0.157000E+02,0.760885E-02,0.312806E+03,0.534136E+03,0.000000E+00,0.506451E-05
0.158000E+02,0.760554E-02,0.312780E+03,0.533808E+03,0.000000E+00,0.506451E-05
0.159000E+02,0.760223E-02,0.312755E+03,0.533481E+03,0.000000E+00,0.506451E-05
0.160000E+02,0.759893E-02,0.312730E+03,0.533154E+03,0.000000E+00,0.506451E-05
0.161000E+02,0.759562E-02,0.312705E+03,0.532827E+03,0.000000E+00,0.506451E-05
0.162000E+02,0.759232E-02,0.312680E+03,0.532500E+03,0.000000E+00,0.506451E-05
0.163000E+02,0.758902E-02,0.312654E+03,0.532173E+03,0.000000E+00,0.506451E-05
0.164000E+02,0.758572E-02,0.312629E+03,0.531846E+03,0.000000E+00,0.506451E-05
0.165000E+02,0.758242E-02,0.312604E+03,0.531520E+03,0.000000E+00,0.506451E-05
0.166000E+02,0.757912E-02,0.312579E+03,0.531194E+03,0.000000E+00,0.506451E-05
0.167000E+02,0.757582E-02,0.312554E+03,0.530868E+03,0.000000E+00,0.506451E-05
0.168000E+02,0.757253E-02,0.312529E+03,0.530542E+03,0.000000E+00,0.506451E-05
0.169000E+02,0.756924E-02,0.312503E+03,0.530217E+03,0.000000E+00,0.506451E-05
0.170000E+02,0.756595E-02,0.312478E+03,0.529891E+03,0.000000E+00,0.506451E-05
0.171000E+02,0.756266E-02,0.312453E+03,0.529566E+03,0.000000E+00,0.506451E-05
0.172000E+02,0.755937E-02,0.312428E+03,0.529241E+03,0.000000E+00,0.506451E-05
0.173000E+02,0.755609E-02,0.312403E+03,0.528917E+03,0.000000E+00,0.506451E-05
0.174000E+02,0.755281E-02,0.312378E+03,0.528592E+03,0.000000E+00,0.506451E-05
0.175000E+02,0.754952E-02,0.312352E+03,0.528268E+03,0.000000E+00,0.506451E-05
0.176000E+02,0.754624E-02,0.312327E+03,0.527943E+03,0.000000E+00,0.506451E-05
0.177000E+02,0.754297E-02,0.312302E+03,0.527619E+03,0.000000E+00,0.506451E-05
0.178000E+02,0.753969E-02,0.312277E+03,0.527296E+03,0.000000E+00,0.506451E-05
0.179000E+02,0.753641E-02,0.312252E+03,0.526972E+03,0.000000E+00,0.506451E-05
0.180000E+02,0.753314E-02,0.312227E+03,0.526649E+03,0.000000E+00,0.506451E-05
0.181000E+02,0.752987E-02,0.312202E+03,0.526325E+03,0.000000E+00,0.506451E-05
0.182000E+02,0.752660E-02,0.312177E+03,0.526002E+03,0.000000E+00,0.506451E-05
0.183000E+02,0.752333E-02,0.312151E+03,0.525680E+03,0.000000E+00,0.506451E-05
0.184000E+02,0.752007E-02,0.312126E+03,0.525357E+03,0.000000E+00,0.506451E-05
0.185000E+02,0.751680E-02,0.312101E+03,0.525034E+03,0.000000E+00,0.506451E-05
0.186000E+02,0.751354E-02,0.312076E+03,0.524712E+03,0.000000E+00,0.506451E-05
0.187000E+02,0.751028E-02,0.312051E+03,0.524390E+03,0.000000E+00,0.506451E-05
0.188000E+02,0.750702E-02,0.312026E+03,0.524068E+03,0.000000E+00,0.506451E-05
0.189000E+02,0.750376E-02,0.312001E+03,0.523747E+03,0.000000E+00,0.506451E-05
0.190000E+02,0.750050E-02,0.311976E+03,0.523425E+03,0.000000E+00,0.506451E-05
0.191000E+02,0.749725E-02,0.311951E+03,0.523104E+03,0.000000E+00,0.506451E-05
0.192000E+02,0.749399E-02,0.311926E+03,0.522783E+03,0.000000E+00,0.506451E-05
0.193000E+02,0.749074E-02,0.311901E+03,0.522462E+03,0.000000E+00,0.506451E-05
0.194000E+02,0.748749E-02,0.311875E+03,0.522141E+03,0.000000E+00,0.506451E-05
0.195000E+02,0.748424E-02,0.311850E+03,0.521820E+03,0.000000E+00,0.506451E-05
0.196000E+02,0.748100E-02,0.311825E+03,0.521500E+03,0.000000E+00,0.506451E-05
0.197000E+02,0.747775E-02,0.311800E+03,0.521180E+03,0.000000E+00,0.506451E-05
0.198000E+02,0.747451E-02,0.311775E+03,0.520860E+03,0.000000E+00,0.506451E-05
0.199000E+02,0.747127E-02,0.311750E+03,0.520540E+03,0.000000E+00,0.506451E-05
0.200000E+02,0.746803E-02,0.311725E+03,0.520221E+03,0.000000E+00,0.506451E-05
0.201000E+02,0.746479E-02,0.311700E+03,0.519901E+03,0.000000E+00,0.506451E-05
0.202000E+02,0.746155E-02,0.311675E+03,0.519582E+03,0.000000E+00,0.506451E-05
0.203000E+02,0.745832E-02,0.311650E+03,0.519263E+03,0.000000E+00,0.506451E-05
0.204000E+02,0.745509E-02,0.311625E+03,0.518944E+03,0.000000E+00,0.506451E-05
0.205000E+02,0.745186E-02,0.311600E+03,0.518625E+03,0.000000E+00,0.506451E-05
0.206000E+02,0.744863E-02,0.311575E+03,0.518307E+03,0.000000E+00,0.506451E-05
0.207000E+02,0.744540E-02,0.311550E+03,0.517989E+03,0.000000E+00,0.506451E-05
0.208000E+02,0.744217E-02,0.311525E+03,0.517671E+03,0.000000E+00,0.506451E-05
0.209000E+02,0.743895E-02,0.311500E+03,0.517353E+03,0.000000E+00,0.506451E-05
0.210000E+02,0.743572E-02,0.311475E+03,0.517035E+03,0.000000E+00,0.506451E-05
0.211000E+02,0.743250E-02,0.311450E+03,0.516718E+03,0.000000E+00,0.506451E-05
0.212000E+02,0.742928E-02,0.311425E+03,0.516400E+03,0.000000E+00,0.506451E-05
0.213000E+02,0.742606E-02,0.311400E+03,0.516083E+03,0.000000E+00,0.506451E-05
0.214000E+02,0.742285E-02,0.311375E+03,0.515766E+03,0.000000E+00,0.506451E-05
0.215000E+02,0.741963E-02,0.311350E+03,0.515449E+03,0.000000E+00,0.506451E-05
0.216000E+02,0.741642E-02,0.311325E+03,0.515133E+03,0.000000E+00,0.506451E-05
0.217000E+02,0.741321E-02,0.311300E+03,0.514817E+03,0.000000E+00,0.506451E-05
0.218000E+02,0.741000E-02,0.311275E+03,0.514500E+03,0.000000E+00,0.506451E-05
0.219000E+02,0.740679E-02,0.311250E+03,0.514184E+03,0.000000E+00,0.506451E-05
0.220000E+02,0.740358E-02,0.311225E+03,0.513869E+03,0.000000E+00,0.506451E-05
0.221000E+02,0.740038E-02,0.311200E+03,0.513553E+03,0.000000E+00,0.506451E-05
0.222000E+02,0.739718E-02,0.311175E+03,0.513237E+03,0.000000E+00,0.506451E-05
0.223000E+02,0.739397E-02,0.311150E+03,0.512922E+03,0.000000E+00,0.506451E-05
0.224000E+02,0.739077E-02,0.311125E+03,0.512607E+03,0.000000E+00,0.506451E-05
0.225000E+02,0.738758E-02,0.311100E+03,0.512292E+03,0.000000E+00,0.506451E-05
0.226000E+02,0.738438E-02,0.311075E+03,0.511978E+03,0.000000E+00,0.506451E-05
0.227000E+02,0.738118E-02,0.311050E+03,0.511663E+03,0.000000E+00,0.506451E-05
0.228000E+02,0.737799E-02,0.311025E+03,0.511349E+03,0.000000E+00,0.506451E-05
0.229000E+02,0.737480E-02,0.311001E+03,0.511035E+03,0.000000E+00,0.506451E-05
0.230000E+02,0.737161E-02,0.310976E+03,0.510721E+03,0.000000E+00,0.506451E-05
0.231000E+02,0.736842E-02,0.310951E+03,0.510407E+03,0.000000E+00,0.506451E-05
0.232000E+02,0.736523E-02,0.310926E+03,0.510093E+03,0.000000E+00,0.506451E-05
0.233000E+02,0.736205E-02,0.310901E+03,0.509780E+03,0.000000E+00,0.506451E-05
0.234000E+02,0.735886E-02,0.310876E+03,0.509467E+03,0.000000E+00,0.506451E-05
0.235000E+02,0.735568E-02,0.310851E+03,0.509154E+03,0.000000E+00,0.506451E-05
0.236000E+02,0.735250E-02,0.310826E+03,0.508841E+03,0.000000E+00,0.506451E-05
0.237000E+02,0.734932E-02,0.310801E+03,0.508528E+03,0.000000E+00,0.506451E-05
0.238000E+02,0.734614E-02,0.310776E+03,0.508216E+03,0.000000E+00,0.506451E-05
0.239000E+02,0.734297E-02,0.310751E+03,0.507903E+03,0.000000E+00,0.506451E-05
0.240000E+02,0.733980E-02,0.310727E+03,0.507591E+03,0.000000E+00,0.506451E-05
0.241000E+02,0.733662E-02,0.310702E+03,0.507279E+03,0.000000E+00,0.506451E-05
0.242000E+02,0.733345E-02,0.310677E+03,0.506968E+03,0.000000E+00,0.506451E-05
0.243000E+02,0.733028E-02,0.310652E+03,0.506656E+03,0.000000E+00,0.506451E-05
0.244000E+02,0.732712E-02,0.310627E+03,0.506345E+03,0.000000E+00,0.506451E-05
0.245000E+02,0.732395E-02,0.310602E+03,0.506034E+03,0.000000E+00,0.506451E-05
0.246000E+02,0.732079E-02,0.310577E+03,0.505723E+03,0.000000E+00,0.506451E-05
0.247000E+02,0.731762E-02,0.310553E+03,0.505412E+03,0.000000E+00,0.506451E-05
